

Crossvalidation Results:
	k	MSE
	1	1385.7393585040065
	2	920.4056838650873
	3	763.0911637246829
	4	553.4082308659155
	5	429.7704449510835
	6	338.4863120212458
	7	293.9648272071588
	8	232.23660337197347
	9	196.48752208861288
	10	199.8125312665529
	11	201.06160266450948
	12	206.8438583830778
	13	209.91587122258207
	14	215.94647832444275
	15	217.13357063604985
	16	221.49572295357262
	17	225.34646086645188
	18	222.30673583480507
	19	224.23501712023122
	20	230.64519733124456

Best k = 9

Total cross validation time = 5.898833990097046 seconds
