

Crossvalidation Results:
	k	MSE
	181	459351.6376704678
	182	438982.3516856255
	183	407402.8011211641
	184	411045.13832959934
	185	397924.24340156215
	186	455692.49099759094
	187	408489.0642956675
	188	411107.2043015315
	189	445678.21103407204
	190	432091.1088127282
	191	421055.89260657947
	192	453968.30826645147
	193	457155.2399984385
	194	433193.2425831839
	195	438838.15634078864
	196	392590.46873615135
	197	387028.5158151199
	198	424098.8321004455
	199	435044.2004155946

Best k = 197

Total cross validation time = 26201.0992770195 seconds
