****                   MendelIHT Version 1.4.1                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Initializing β to univariate regression values...
...completed in 206.2 seconds.

Running sparse Multivariate Gaussian regression
Number of threads = 36
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 197
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 1500
Converging when tol < 0.0001 and iteration ≥ 10:

Iteration 1: loglikelihood = -206376.4155937056, backtracks = 0, tol = 0.03692237778321655
Iteration 2: loglikelihood = -193498.60500138422, backtracks = 0, tol = 0.02677067045125389
Iteration 3: loglikelihood = -192683.28865301996, backtracks = 0, tol = 0.013468874595395634
Iteration 4: loglikelihood = -191788.80016352976, backtracks = 0, tol = 0.007664163908028142
Iteration 5: loglikelihood = -185640.65918023608, backtracks = 1, tol = 0.00676628855440449
Iteration 6: loglikelihood = -185243.58293450606, backtracks = 0, tol = 0.005297229459651891
Iteration 7: loglikelihood = -184903.67425294028, backtracks = 0, tol = 0.005431069391257621
Iteration 8: loglikelihood = -183269.1828197132, backtracks = 1, tol = 0.003342458336702695
Iteration 9: loglikelihood = -182440.68903999688, backtracks = 0, tol = 0.006000976056942639
Iteration 10: loglikelihood = -181933.29505734018, backtracks = 1, tol = 0.00271784773569684
Iteration 11: loglikelihood = -180763.81301060808, backtracks = 0, tol = 0.008379749310539983
Iteration 12: loglikelihood = -180388.7734297434, backtracks = 1, tol = 0.003991869406878666
Iteration 13: loglikelihood = -180037.27988074603, backtracks = 0, tol = 0.004176593625710834
Iteration 14: loglikelihood = -179982.11296259618, backtracks = 1, tol = 0.0033210935666936913
Iteration 15: loglikelihood = -179767.22984824463, backtracks = 1, tol = 0.0012320889428044646
Iteration 16: loglikelihood = -179594.57713086193, backtracks = 0, tol = 0.0027281009572441735
Iteration 17: loglikelihood = -179584.32841174334, backtracks = 1, tol = 0.003172623465483298
Iteration 18: loglikelihood = -179495.18520097138, backtracks = 0, tol = 0.0031788979923669937
Iteration 19: loglikelihood = -179280.0795805746, backtracks = 2, tol = 0.001986627116129571
Iteration 20: loglikelihood = -178999.6135290292, backtracks = 0, tol = 0.003912636742794764
Iteration 21: loglikelihood = -178946.81724173995, backtracks = 2, tol = 0.0012023894862540838
Iteration 22: loglikelihood = -178905.79958411586, backtracks = 2, tol = 0.0011123258187353416
Iteration 23: loglikelihood = -178872.59045376146, backtracks = 2, tol = 0.0010367408225128508
Iteration 24: loglikelihood = -178844.91191915463, backtracks = 2, tol = 0.0009734500452300247
Iteration 25: loglikelihood = -178821.35856808285, backtracks = 2, tol = 0.0009195974128173454
Iteration 26: loglikelihood = -178801.00584213197, backtracks = 2, tol = 0.0008728399792958763
Iteration 27: loglikelihood = -178783.21227017965, backtracks = 2, tol = 0.0008312158960146368
Iteration 28: loglikelihood = -178767.51305000816, backtracks = 2, tol = 0.00079392626039003
Iteration 29: loglikelihood = -178753.55926505843, backtracks = 2, tol = 0.0007601110076352558
Iteration 30: loglikelihood = -178741.08129300506, backtracks = 2, tol = 0.0007291464654515442
Iteration 31: loglikelihood = -178729.8657525314, backtracks = 2, tol = 0.0007005717801328171
