

Crossvalidation Results:
	k	MSE
	110	255703.17432425063
	120	257224.47015962432
	130	254027.43607752855
	140	204154.5899014847
	150	8.879776572925096e6
	160	283809.22454811377
	170	280314.34245381656
	180	275466.97385723295
	190	199981.87052631812
	200	252870.63580192672
	210	259680.06178984637
	220	261989.60016083706
	230	215688.81109806674
	240	288903.58823211154
	250	289076.1852861665
	260	289294.6813206869
	270	261731.9434629713
	280	284728.19938354054
	290	306296.0481796051

Best k = 190

Total cross validation time = 25178.988793849945 seconds
