

Crossvalidation Results:
	k	MSE
	4671	590210.5361568895
	4672	590226.0253999017
	4673	590224.4204236817
	4674	590182.0673667405
	4675	590242.2191995579
	4676	590217.6265803744
	4677	590217.752867078
	4678	590176.4261244844
	4679	590233.4660490924
	4680	590219.46932768
	4681	590235.389050367
	4682	590233.7253465344
	4683	590244.5841093718
	4684	590282.2765557343
	4685	590205.2656343653
	4686	590211.0966398581
	4687	590198.4899569587
	4688	590262.8058564411
	4689	590220.1781670412

Best k = 4678

Total cross validation time = 56714.377818107605 seconds
