

Crossvalidation Results:
	k	MSE
	3100	591042.429723277
	3200	590895.3022200245
	3300	590761.3305662682
	3400	590607.4289669031
	3500	590566.639428393
	3600	590420.1669977095
	3700	590444.4620283346
	3800	590382.1885101473
	3900	590297.9540187778
	4000	590319.3837313919
	4100	590167.3335445252
	4200	590197.5468015015
	4300	590177.5809431751
	4400	590157.9058972478
	4500	590482.9734435885
	4600	590047.7953656047
	4700	590074.1594790191
	4800	590427.2180206269
	4900	590474.211660673

Best k = 4600

Total cross validation time = 51195.960564136505 seconds
