****                   MendelIHT Version 1.4.6                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Running sparse Multivariate Gaussian regression
Number of threads = 32
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 4678
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 20000
Converging when tol < 0.0001 and iteration ≥ 5:

Iteration 1: loglikelihood = 1.9900806693628624e6, backtracks = 0, tol = 0.05038374598183472
Iteration 2: loglikelihood = 2.0109317364920506e6, backtracks = 3, tol = 0.0008774580995211358
Iteration 3: loglikelihood = 2.0223371598561592e6, backtracks = 3, tol = 0.0009518148583178098
Iteration 4: loglikelihood = 2.03079113895094e6, backtracks = 3, tol = 0.0009061352247563808
Iteration 5: loglikelihood = 2.005878397786369e6, backtracks = 3, tol = 0.0009953013187424269
Iteration 6: loglikelihood = 2.0603467294320364e6, backtracks = 3, tol = 0.0010096515593293449
Iteration 7: loglikelihood = 1.9533083706142209e6, backtracks = 3, tol = 0.0017813920227501409
Iteration 8: loglikelihood = 2.0659200390816713e6, backtracks = 2, tol = 0.0017802469304129336
Iteration 9: loglikelihood = 1.9674891749258635e6, backtracks = 3, tol = 0.0018060949593481524
Iteration 10: loglikelihood = 2.0984850300611453e6, backtracks = 2, tol = 0.0016815414957471759
Iteration 11: loglikelihood = 1.9628524110016613e6, backtracks = 3, tol = 0.0019122194242959074
Iteration 12: loglikelihood = 1.9953950755137852e6, backtracks = 1, tol = 0.0032100929475124117
Iteration 13: loglikelihood = 2.134420299294826e6, backtracks = 2, tol = 0.0014002572277623838
Iteration 14: loglikelihood = 1.9820533364195963e6, backtracks = 3, tol = 0.002343532315266765
Iteration 15: loglikelihood = 2.0244690125655136e6, backtracks = 1, tol = 0.002400953632550284
Iteration 16: loglikelihood = 2.0747637273851056e6, backtracks = 2, tol = 0.0017778945841499735
Iteration 17: loglikelihood = 2.0820936319051548e6, backtracks = 3, tol = 0.0011666483997611744
Iteration 18: loglikelihood = 2.0784581574943273e6, backtracks = 3, tol = 0.001169105137762058
Iteration 19: loglikelihood = 2.0870332717288947e6, backtracks = 3, tol = 0.001146502230359068
Iteration 20: loglikelihood = 2.0735056672301306e6, backtracks = 3, tol = 0.0014127084031846514
Iteration 21: loglikelihood = 2.1092655173647446e6, backtracks = 3, tol = 0.0010826853789894582
Iteration 22: loglikelihood = 2.0387033808109327e6, backtracks = 3, tol = 0.0015550912224117806
Iteration 23: loglikelihood = 2.0815266100712088e6, backtracks = 2, tol = 0.0015895231476213884
Iteration 24: loglikelihood = 2.095231388956582e6, backtracks = 3, tol = 0.0012809251684493632
Iteration 25: loglikelihood = 2.0761130039050975e6, backtracks = 3, tol = 0.0012217139518787723
Iteration 26: loglikelihood = 2.1239037792211315e6, backtracks = 3, tol = 0.0010545723930451643
Iteration 27: loglikelihood = 2.0321072628110414e6, backtracks = 3, tol = 0.0014876522850894073
Iteration 28: loglikelihood = 2.1295632602353063e6, backtracks = 2, tol = 0.001410780438207139
Iteration 29: loglikelihood = 2.027978179979342e6, backtracks = 3, tol = 0.0015087564178323995
Iteration 30: loglikelihood = 2.1599685018256987e6, backtracks = 2, tol = 0.001320345673293699
Iteration 31: loglikelihood = 2.001867933652855e6, backtracks = 3, tol = 0.001780705595515023
Iteration 32: loglikelihood = 2.082622832407198e6, backtracks = 1, tol = 0.0021217620372830375
Iteration 33: loglikelihood = 2.1495527512423275e6, backtracks = 3, tol = 0.000965058152033605
Iteration 34: loglikelihood = 2.0259116886105011e6, backtracks = 3, tol = 0.0016587507725767691
Iteration 35: loglikelihood = 2.0312970620722948e6, backtracks = 1, tol = 0.002362528975112182
Iteration 36: loglikelihood = 2.2148238253478445e6, backtracks = 2, tol = 0.0011882594080824564
Iteration 37: loglikelihood = 2.0181435024022656e6, backtracks = 3, tol = 0.001753432991373205
Iteration 38: loglikelihood = 2.0641219008934414e6, backtracks = 1, tol = 0.0020858838853845714
Iteration 39: loglikelihood = 2.0838199297806188e6, backtracks = 2, tol = 0.0015408113478073524
Iteration 40: loglikelihood = 2.189620807827518e6, backtracks = 3, tol = 0.0008847724496806284
Iteration 41: loglikelihood = 1.992478036472042e6, backtracks = 3, tol = 0.002031661148853347
Iteration 42: loglikelihood = 2.0089453806722441e6, backtracks = 0, tol = 0.003908920409155713
Iteration 43: loglikelihood = 2.1552014861200764e6, backtracks = 1, tol = 0.001772192031995265
Iteration 44: loglikelihood = 2.0493719228377747e6, backtracks = 3, tol = 0.0013528342429486979
Iteration 45: loglikelihood = 2.2243734627317344e6, backtracks = 2, tol = 0.0011586824300012983
Iteration 46: loglikelihood = 2.0089218215035712e6, backtracks = 3, tol = 0.0017948910249127442
Iteration 47: loglikelihood = 2.220630920103323e6, backtracks = 1, tol = 0.0016944490573090616
Iteration 48: loglikelihood = 2.0069499701707442e6, backtracks = 3, tol = 0.0021297266659799016
Iteration 49: loglikelihood = 2.013386386689867e6, backtracks = 0, tol = 0.003119714645649605
Iteration 50: loglikelihood = 2.213292050679892e6, backtracks = 1, tol = 0.0016496159679171498
Iteration 51: loglikelihood = 2.0160692717641839e6, backtracks = 3, tol = 0.0017480741339970611
Iteration 52: loglikelihood = 2.1997969699243177e6, backtracks = 1, tol = 0.0016840978443799217
Iteration 53: loglikelihood = 2.0181911071184543e6, backtracks = 3, tol = 0.0016501551682077344
Iteration 54: loglikelihood = 2.2004568006173023e6, backtracks = 1, tol = 0.0016499817762860396
Iteration 55: loglikelihood = 2.0235330577899446e6, backtracks = 3, tol = 0.0015634898194833052
Iteration 56: loglikelihood = 2.170812670613558e6, backtracks = 1, tol = 0.0017202863124603164
Iteration 57: loglikelihood = 2.0470444754757779e6, backtracks = 3, tol = 0.0013792225249812404
